ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
TK-240001,2025-01-01 09:48,2025-01-01 11:34,2025-01-01 11:49,resolved,email,C106340,,VA-EB-AIR,Account & Login,Low,Email Frontline,A3027,2,5,,,N,"hii
cannot login to my account
hello??","Contact re login issue. Checked OTP logs. xfer to Logistics. Number updated, rslvd.",helpdesk
TK-240001,2025-01-01 09:48,2025-01-01 11:34,2025-01-01 06:19,resolved,email,C106340,,VA-EB-AIR,Account & Login,Low,Email Frontline,A3027,2,5,,,N,"hii
cannot login to my account
hello??","Contact re login issue. Checked OTP logs. xfer to Logistics. Number updated, rslvd.",legacy_fd
TK-240002,2025-01-01 13:24,2025-01-01 13:26,2025-01-01 08:28,resolved,chat,C102868,,VA-HP-ST2,Audio Quality,Normal,Chat Frontline,A3011,0,4,,,N,"hello
buzzing sound from the speaker
??",-,legacy_fd
TK-240003,2025-01-01 13:55,2025-01-01 14:06,2025-01-01 09:07,resolved,chat,C108259,VR894659,VA-SW-FIT,Billing & Payments,Normal,Billing,A3033,0,1,,,N,"the page failed after I paid and now nothing shows in my account, please advise",sorted ~Diya,legacy_fd
TK-240004,2025-01-01 15:13,2025-01-01 17:14,2025-01-02 11:57,resolved,email,C100979,VR909673,VA-AC-CH65,Delivery & Shipping,Normal,Logistics,A3029,0,0,,,N,"Honestly regrettign this purchase.  the GaN charger purchased in December, order VR909673. paid on 20-12-2024, still waiting for something to show up. I already checked with neighbours. Escalate this to someone senior.",ticket raised for shipment not rcvd. conf address w/ cx. re-shipped from warehouse. case closed w/ cx consent. [closed],legacy_fd
TK-240005,2025-01-01 20:24,2025-01-01 20:37,2025-01-03 20:52,resolved,voice,C102389,,VA-EB-PL1,Delivery & Shipping,High,Logistics,A3029,0,4,1250,DOA-REPL,N,"[IVR transcript] hi the parcel looked like it was kiked here from the warehouse, and the unit has a crack my pulse","damaged in transit | chk w/ crr for damage claim -> rfnd approved, rs 1250, 5-7 working days [closed]",helpdesk
TK-240005,2025-01-01 20:24,2025-01-01 20:37,2025-01-03 15:22,resolved,voice,C102389,,VA-EB-PL1,Delivery & Shipping,High,Logistics,A3029,0,4,1250,DOA-REPL,N,"[IVR transcript] hi the parcel looked like it was kiked here from the warehouse, and the unit has a crack my pulse","damaged in transit | chk w/ crr for damage claim -> rfnd approved, rs 1250, 5-7 working days [closed]",legacy_fd
TK-240006,2025-01-01 21:01,2025-01-01 22:51,2025-01-01 17:43,resolved,email,C100577,,VA-EB-AIR,Returns & Refunds,Normal,Returns Desk,A3036,1,4,3058,RETURN-QC-OK,N,"Got airlite earbuds from Amazon 3 weeks back. Refund not received yet. I emailed twice. Kindly look into it. Thanks & regards,",cx: refund delay | checked refund status on pg -> arn shared with cx,legacy_fd
TK-240007,2025-01-01 23:31,2025-01-02 02:01,2025-01-01 21:08,resolved,email,C106493,,VA-HP-ST3,Charging & Battery,Normal,Email Frontline,A3001,0,3,,,N,"battery drains very fast, barely lasts 2 hours.  please resolve asap",cx: poor battery backup | checked fw 1.4.5 -> escalated to warranty -SK,legacy_fd
TK-240008,2025-01-02 08:15,2025-01-02 08:21,2025-01-07 03:08,resolved,chat,C106752,,VA-NB-ARC,Delivery & Shipping,Normal,Logistics,A3027,0,0,,,N,"Hi team, I bought Arc neckband on 27-12-2024.  My order has not been delivered yet. I checked with neighbours. Nothing changed. Very poor quality. How do I get this fixed? Regards Manish Guptta",Cx reported ord not delivered. Raised ticket w/ crr partner. Re-shipped from warehouse.,legacy_fd
